Drug1	Drug2
CIP	AMP
CLA	AMP
DOX	AMP
MIN	AMP
CIP	AMI
CIP	TOB
CIP	AZE
CIP	CAR
LEV	AMI
LEV	GEN
LEV	TOB
LEV	AZE
LEV	AMP
LEV	CAR
COL	CAR
COL	PIP
AZY	COL
AZY	AMP
AZY	CAR
CLA	GEN
CLA	AZE
CLA	CAR
DOX	AZE
DOX	CAR
MIN	AZE
MIN	CAR
TMS	PIP
AMI	COL
AMI	CAR
AMI	PIP
GEN	COL
GEN	CAR
TOB	COL
TOB	AZE
TOB	CAR
TOB	AZY
CIP	GEN
CIP	COL
CIP	TIC
CIP	PIP
CIP	CFZ
CIP	MER
CIP	IMI
LEV	COL
LEV	TIC
LEV	PIP
LEV	CFZ
LEV	MER
LEV	IMI
COL	AZE
COL	AMP
COL	TIC
COL	CFX
COL	CFP
COL	CFZ
COL	MER
COL	FOS
COL	AZY
AZE	TOB
AZE	FOS
AMP	CIP
AMP	LEV
AMP	COL
AMP	TMS
CAR	AMI
CAR	TOB
CAR	COL
TIC	FOS
RIF	MER
RIF	AZY
FOS	MER
FOS	AZY
AZY	AMI
AZY	GEN
AZY	TOB
AZY	AZE
AZY	TIC
AZY	CFZ
AZY	MER
AZY	IMI
ERI	AMI
ERI	GEN
ERI	TOB
ERI	COL
ERI	AZE
ERI	AMP
ERI	CAR
ERI	TIC
ERI	CFX
ERI	CFZ
ERI	MER
ERI	IMI
CLA	AMI
CLA	TOB
CLA	COL
CLA	TIC
CLA	CFX
CLA	CFZ
CLA	MER
CLA	IMI
DOX	AMI
DOX	GEN
DOX	TOB
DOX	COL
DOX	IMI
MIN	AMI
MIN	GEN
MIN	TOB
MIN	COL
MIN	IMI
MIN	FOS
TMS	AMI
TMS	GEN
TMS	TOB
TMS	AZE
TMS	CAR
TMS	CFX
TMS	AZY
TMS	CLA
